Region,Technology,Material,Scenario,Unit,Density,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
EU,Wind,Dy,LDS,t/yr,95.272115,91.02918129,86.99981366,83.18519151,79.57194461,76.14760138,72.90052746,69.81986855,66.89549698,64.11796204,61.47844354,58.96870858,56.58107128,55.09062655,53.62206312,52.17620451,50.75377289,49.35539538,47.98161009,46.63287179,45.3095574,44.01197117,42.74034962,41.49486625,40.27563601,39.0827195,37.91612703,36.77582241,35.66172658,34.57372098,33.51165082,32.4753281,31.46453453
EU,Wind,Dy,MDS,t/yr,95.272115,107.809181,119.7635303,131.1543193,142.0001539,152.3191044,162.1287195,171.4460407,180.2876154,188.6695106,196.6073257,204.1162049,211.2108496,218.8179855,226.1081772,233.0896229,239.7703487,246.1582112,252.2609006,258.0859436,263.6407066,268.9323983,273.9680724,278.754631,283.2988266,287.6072654,291.6864098,295.5425809,299.1819613,302.6105975,305.8344026,308.8591586,311.690519
EU,Wind,Dy,HDS,t/yr,95.272115,124.9414497,155.5117653,187.439086,220.7234117,255.3647423,291.363078,328.7184187,367.4307643,407.500115,448.9264707,491.7098313,535.850197,573.2705774,611.037488,649.1509288,687.6108998,726.417401,765.5704324,805.069994,844.9160858,885.1087078,925.64786,966.5335424,1007.765755,1049.344498,1091.269771,1133.541574,1176.159907,1219.124771,1262.436165,1306.094089,1350.098543
EU,Wind,Fe,LDS,t/yr,235704.678,241505.1079,247120.934,252662.9388,258130.807,263524.2237,268842.8736,274086.4417,279254.6128,284347.0718,289363.5035,294303.5929,299167.0248,304229.9642,309206.4979,314096.4209,318899.5281,323615.6144,328244.4748,332785.9043,337239.6976,341605.6499,345883.5559,350073.2107,354174.4092,358186.9463,362110.6169,365945.216,369690.5385,373346.3794,376912.5335,380388.7959,383774.9614
EU,Wind,Fe,MDS,t/yr,235704.678,268929.0472,301927.0874,334698.9253,367244.6872,399564.4998,431658.4894,463526.7825,495169.5057,526586.7854,557778.7481,588745.5203,619487.2285,650393.6117,681116.7017,711656.1931,742011.7804,772183.1582,802170.021,831972.0635,861588.9802,891020.4656,920266.2143,949325.9208,978199.2799,1006885.986,1035385.734,1063698.217,1091823.132,1119760.171,1147509.031,1175069.405,1202440.988
EU,Wind,Fe,HDS,t/yr,235704.678,314697.6971,392445.9945,470389.0244,548526.7868,626859.2818,705386.5093,784108.4693,863025.1619,942136.587,1021442.745,1100943.635,1180639.258,1259883.985,1339235.262,1418693.089,1498257.465,1577928.392,1657705.869,1737589.896,1817580.472,1897677.599,1977881.276,2058191.502,2138608.279,2219131.605,2299761.481,2380497.907,2461340.884,2542290.41,2623346.486,2704509.112,2785778.288
EU,Wind,Mn,LDS,t/yr,9456.1981,9699.464157,9934.531948,10165.9637,10393.75727,10617.91053,10838.42135,11055.2876,11268.50712,11478.07781,11683.99751,11886.2641,12084.87544,12281.22283,12473.85394,12662.76742,12847.96191,13029.43604,13207.18846,13381.21782,13551.52276,13718.10191,13880.95393,14040.07745,14195.47111,14347.13357,14495.06346,14639.25942,14779.7201,14916.44414,15049.43018,15178.67687,15304.18284
EU,Wind,Mn,MDS,t/yr,9456.1981,10785.46306,12106.1318,13418.20503,14721.68349,16016.56791,17302.859,18580.55749,19849.66412,21110.17961,22362.10468,23605.44006,24840.18648,26068.80414,27289.09547,28501.05848,29704.69118,30899.99158,32086.95769,33265.58751,34435.87906,35597.83034,36751.43936,37896.70414,39033.62268,40162.19298,41282.41306,42394.28093,43497.79459,44592.95206,45679.75134,46758.19044,47828.26737
EU,Wind,Mn,HDS,t/yr,9456.1981,12631.92962,15750.51797,18870.17146,21990.89008,25112.67384,28235.52274,31359.43677,34484.41594,37610.46025,40737.56969,43865.74427,46994.98399,50122.69696,53251.09004,56380.16322,59509.91651,62640.34991,65771.46341,68903.25702,72035.73073,75168.88455,78302.71848,81437.23251,84572.42665,87708.30089,90844.85524,93982.0897,97120.00426,100258.5989,103397.8737,106537.8286,109678.4636
EU,Wind,Mo,LDS,t/yr,1300.8826,1333.151874,1364.418496,1395.294894,1425.778933,1455.868477,1485.561395,1514.85555,1543.748809,1572.239038,1600.324103,1628.001869,1655.270203,1683.520408,1711.30015,1738.608073,1765.442817,1791.803026,1817.687343,1843.09441,1868.02287,1892.471365,1916.438538,1939.923031,1962.923488,1985.43855,2007.46686,2029.007061,2050.057796,2070.617706,2090.685435,2110.259626,2129.33892
EU,Wind,Mo,MDS,t/yr,1300.8826,1484.239503,1666.344339,1847.197833,2026.800711,2205.153702,2382.25753,2558.112923,2732.720608,2906.081309,3078.195754,3249.06467,3418.688783,3589.528295,3759.385639,3928.258823,4096.145856,4263.044747,4428.953504,4593.870136,4757.792653,4920.719063,5082.647374,5243.575596,5403.501738,5562.423807,5720.339813,5877.247765,6033.145672,6188.031542,6341.903384,6494.759207,6646.59702
EU,Wind,Mo,HDS,t/yr,1300.8826,1736.883023,2165.998073,2596.17826,3027.423583,3459.734043,3893.10964,4327.550373,4763.056243,5199.62725,5637.263393,6075.964673,6515.73109,6953.970762,7392.89054,7832.490424,8272.770414,8713.73051,9155.370712,9597.69102,10040.69143,10484.37195,10928.73258,11373.77331,11819.49415,12265.89509,12712.97614,13160.7373,13609.17856,14058.29993,14508.1014,14958.58298,15409.74467
EU,Wind,Nd,LDS,t/yr,857.380035,813.0892629,771.4984257,732.4654938,695.8170766,661.3918067,629.0395168,598.6204724,570.0046548,543.0710929,517.7072394,493.8083892,471.2771368,458.6945481,446.3434708,434.2246379,422.3385089,410.6852768,399.2648747,388.0769851,377.1210486,366.3962731,355.9016445,345.6359364,335.5977209,325.7853792,316.1971124,306.8309521,297.6847711,288.7562941,280.0431081,271.5426722,263.2523284
EU,Wind,Nd,MDS,t/yr,857.380035,973.3952034,1084.004365,1189.385803,1289.712663,1385.15309,1475.870362,1562.023022,1643.765006,1721.245763,1794.61038,1863.9997,1929.550432,2000.784999,2069.165269,2134.761582,2197.642913,2257.876892,2315.529824,2370.666711,2423.351268,2473.645947,2521.611954,2567.309268,2610.796663,2652.131724,2691.370867,2728.569361,2763.781339,2797.059823,2828.45674,2858.022939,2885.808212
EU,Wind,Nd,HDS,t/yr,857.380035,1116.058819,1386.897637,1673.592255,1976.142673,2294.548892,2628.810911,2978.928729,3344.902348,3726.731768,4124.416987,4537.958006,4967.354826,5315.684498,5667.745038,6023.536445,6383.058719,6746.31186,7113.295868,7484.010744,7858.456487,8236.633097,8618.540574,9004.178918,9393.54813,9786.648209,10183.47915,10584.04097,10988.33365,11396.3572,11808.11161,12223.59689,12642.81304
EU,Wind,Ni,LDS,t/yr,4329.15615,4472.176842,4610.405362,4746.283446,4879.815769,5011.007006,5139.861833,5266.384925,5390.580956,5512.454603,5632.010541,5749.253444,5864.187988,5957.593896,6049.019527,6138.468382,6225.943961,6311.449765,6394.989295,6476.566051,6556.183534,6633.845245,6709.554683,6783.315349,6855.130745,6925.00437,6992.939726,7058.940312,7123.009629,7185.151179,7245.368461,7303.664976,7360.044224
EU,Wind,Ni,MDS,t/yr,4329.15615,4926.796422,5521.120298,6112.122915,6699.799413,7284.144927,7865.154597,8442.82356,9017.146954,9588.119917,10155.73759,10719.9951,11280.8876,11828.79376,12372.23572,12911.21993,13445.75281,13975.84079,14501.49032,15022.70781,15539.49971,16051.87245,16559.83246,17063.38617,17562.54002,18057.30044,18547.67386,19033.66671,19515.28544,19992.53647,20465.42623,20933.96116,21398.14769
EU,Wind,Ni,HDS,t/yr,4329.15615,5807.573125,7242.981655,8663.51733,10069.18015,11459.97012,12835.88723,14196.93148,15543.10288,16874.40143,18190.82712,19492.37995,20779.05993,22149.31647,23516.75542,24881.37679,26243.18058,27602.16679,28958.33542,30311.68646,31662.21992,33009.9358,34354.8341,35696.91482,37036.17795,38372.6235,39706.25147,41037.06186,42365.05467,43690.22989,45012.58753,46332.12759,47648.85007
EU,Wind,Pr,LDS,t/yr,150.12479,141.5845705,133.594098,126.1176059,119.1202277,112.5694708,106.4350575,100.688777,95.30434626,90.25728057,85.52477229,81.08557776,76.91991157,74.86027924,72.83973935,70.85826029,68.91577944,67.0122032,65.1474072,63.32123675,61.53350747,59.78400603,58.07249108,56.39869421,54.76232106,53.16305251,51.60054581,50.07443592,48.58433673,47.1298424,45.71052863,44.32595401,42.97566128
EU,Wind,Pr,MDS,t/yr,150.12479,170.5892101,190.0851267,208.644892,226.2999151,243.0806881,259.0168109,274.1370151,288.4691879,302.0403948,314.8769021,327.0041984,338.4470164,350.9662469,362.9824033,374.5079395,385.5550655,396.1357513,406.2617309,415.9445054,425.1953467,434.0253014,442.4451942,450.4656313,458.0970039,465.3494919,472.2330668,478.7574959,484.9323446,490.7669807,496.2705771,501.452115,506.3203876
EU,Wind,Pr,HDS,t/yr,150.12479,195.160608,242.640517,293.185496,346.795545,403.470664,463.210853,526.016112,591.886441,660.82184,732.822309,807.887848,886.018457,947.9118774,1010.475688,1073.709889,1137.61448,1202.189461,1267.434832,1333.350594,1399.936746,1467.193288,1535.12022,1603.717542,1672.985255,1742.923358,1813.531851,1884.810734,1956.760007,2029.379671,2102.669725,2176.630169,2251.261003
EU,Wind,Tb,LDS,t/yr,32.06113,30.42977205,28.88986162,27.43753813,26.06740915,24.77442671,23.55386508,22.4013001,21.31258967,20.28385562,19.31146665,18.39202243,17.5223387,16.99695258,16.48363814,15.98233473,15.49296594,15.01544089,14.5496555,14.09549364,13.65282824,13.22152233,12.80143004,12.39239753,11.99426382,11.60686167,11.23001829,10.8635561,10.50729339,10.16104495,9.824622666,9.497836067,9.180492835
EU,Wind,Tb,MDS,t/yr,32.06113,36.3865082,40.51459885,44.45179227,48.20429748,51.77814702,55.17920163,58.41315474,61.48553694,64.40172033,67.16692265,69.78621148,72.26450816,74.83265126,77.28753737,79.63230203,81.870008,84.00364679,86.03614012,87.97034138,89.8090371,91.55494825,93.21073173,94.77898163,96.26223057,97.66295104,98.98355661,100.2264032,101.3937904,102.4879623,103.5111094,104.4653688,105.3528262
EU,Wind,Tb,HDS,t/yr,32.06113,41.742658,51.83784,62.485924,73.68691,85.440798,97.747588,110.60728,124.019874,137.98537,152.503768,167.575068,183.19927,195.694166,208.28622,220.975432,233.761802,246.64533,259.626016,272.70386,285.878862,299.151022,312.52034,325.986816,339.55045,353.211242,366.969192,380.8243,394.776566,408.82599,422.972572,437.216312,451.55721
EU,Wind,Zn,LDS,t/yr,65865.25,67569.33563,69215.30688,70835.06375,72428.60625,73995.93438,75537.04813,77051.9475,78540.6325,80003.10313,81439.35938,82849.40125,84233.22875,85590.84188,86922.24063,88227.425,89506.395,90759.15063,91985.69188,93186.01875,94360.13125,95508.02938,96629.71313,97725.1825,98794.4375,99837.47813,100854.3044,101844.9163,102809.3138,103747.4969,104659.4656,105545.22,106404.76
EU,Wind,Zn,MDS,t/yr,65865.25,75120.01406,84315.46406,93451.6,102528.4219,111545.9297,120504.1234,129403.0031,138242.5688,147022.8203,155743.7578,164405.3813,173007.6906,181550.6859,190034.3672,198458.7344,206823.7875,215129.5266,223375.9516,231563.0625,239690.8594,247759.3422,255768.5109,263718.3656,271608.9063,279440.1328,287212.0453,294924.6438,302577.9281,310171.8984,317706.5547,325181.8969,332597.925
EU,Wind,Zn,HDS,t/yr,65865.25,87992.3,109713.45,131434.6,153155.75,174876.9,196598.05,218319.2,240040.35,261761.5,283482.65,305203.8,326924.95,348646.1,370367.25,392088.4,413809.55,435530.7,457251.85,478973,500694.15,522415.3,544136.45,565857.6,587578.75,609299.9,631021.05,652742.2,674463.35,696184.5,717905.65,739626.8,761347.95
EU,Wind onshore,Concrete,LDS,t/yr,2979731.16,3102590.034,3221076.702,3337887.551,3453021.224,3566476.364,3678251.615,3788345.618,3896757.017,4003484.456,4108526.577,4211882.024,4313549.438,4413153.432,4511050.219,4607238.886,4701718.518,4794488.202,4885547.023,4974894.068,5062528.421,5148449.169,5232655.398,5315146.193,5395920.641,5474977.826,5552316.836,5627936.755,5701836.671,5774015.667,5844472.831,5913207.249,5980218.005
EU,Wind onshore,Concrete,MDS,t/yr,2979731.16,3357125.614,3731302.596,4102269.589,4470034.074,4834603.53,5195985.439,5554187.282,5909216.541,6261080.695,6609787.226,6955343.614,7297757.342,7643907.335,7987549.375,8328684.425,8667313.454,9003437.426,9337057.308,9668174.067,9996788.668,10322902.08,10646515.26,10967629.19,11286244.82,11602363.12,11915985.07,12227111.62,12535743.74,12841882.4,13145528.56,13446683.19,13745347.26
EU,Wind onshore,Concrete,HDS,t/yr,2979731.16,4172899.505,5335998.133,6492759.9,7643184.807,8787272.853,9925024.038,11056438.36,12181515.83,13300256.43,14412660.17,15518727.05,16618457.08,17758683.59,18898599.2,20038203.9,21177497.69,22316480.58,23455152.57,24593513.65,25731563.82,26869303.09,28006731.45,29143848.91,30280655.46,31417151.11,32553335.85,33689209.68,34824772.61,35960024.63,37094965.75,38229595.96,39363915.27
EU,Wind onshore,Steel,LDS,t/yr,961080.9975,1000110.346,1037684.173,1074673.172,1111077.91,1146898.95,1182136.859,1216792.202,1250865.545,1284357.452,1317268.49,1349599.223,1381350.218,1412827.7,1443740.026,1474087.399,1503870.022,1533088.099,1561741.834,1589831.43,1617357.091,1644319.021,1670717.422,1696552.498,1721824.453,1746533.491,1770679.815,1794263.628,1817285.135,1839744.538,1861642.041,1882977.848,1903752.162
EU,Wind onshore,Steel,MDS,t/yr,961080.9975,1083795.43,1205694.993,1326779.938,1447050.517,1566506.982,1685149.584,1802978.575,1919994.207,2036196.73,2151586.397,2266163.459,2379928.168,2492981.618,2605232.313,2716680.41,2827326.063,2937169.43,3046210.665,3154449.926,3261887.368,3368523.147,3474357.418,3579390.34,3683622.066,3787052.753,3889682.557,3991511.634,4092540.141,4192768.232,4292196.064,4390823.794,4488651.576
